Transcription	stressInfoA	stressInfoB	Orthography	Frequency	PoSs
ə	_	S1	a	23178	(N IA VB PP)
ɑ.ɹ.d.v.ɑ.ɹ.k	'`	S2	aardvark	0	(N)
ə.b.æ.k	_'	S2	aback	2	(AV)
æ.b.ə.k.ə.s	'__	S3	abacus	0	(N)
ə.b.æ.f.t	_'	S2	abaft	0	(AV PP)
æ.b.ə.l.oʊ.n.i	`_'_	S4	abalone	0	(N)
ə.b.æ.n.d.ɪ.n	_'_	S3	abandon	17	(VT N)
ə.b.eɪ.s	_'	S2	abase	0	(VT)
ə.b.æ.ʃ	_'	S2	abash	0	(VT)
ə.b.eɪ.t	_'	S2	abate	0	(VT VI)
æ.b.ə.t.i	'_`	S3	abatis	0	(N)
æ.b.ə.t.w.ɑ.ɹ	'_`	S3	abattoir	0	(N)
æ.b.ə.s.i	'__	S3	abbacy	0	(N)
æ.b.eɪ	_'	S2	abbe	3	(N)
æ.b.ə.s	'_	S2	abbess	0	(N)
æ.b.i	'_	S2	abbey	7	(N)
æ.b.ə.t	'_	S2	abbot	2	(N)
ə.b.ɹ.i.v.i.eɪ.t	_'_`	S4	abbreviate	0	(VT)
ə.b.ɹ.i.v.i.eɪ.ʃ.ɪ.n	_`_'_	S5	abbreviation	1	(N)
æ.b.d.ɪ.k.eɪ.t	'_`	S3	abdicate	0	(VT VI)
æ.b.d.ɪ.k.eɪ.ʃ.ɪ.n	`_'_	S4	abdication	0	(N)
æ.b.d.ə.m.ə.n	'__	S3	abdomen	6	(N)
æ.b.d.ɑ.m.ə.n.l̩	_'__	S4	abdominal	4	(AJ)
æ.b.d.ʌ.k.t	_'	S2	abduct	0	(VT)
ə.b.i.m	_'	S2	abeam	0	(AV)
eɪ.b.i.s.i.d.ɛ.ɹ.i.ə.n	`_`'__	S6	abecedarian	0	(N AJ)
ə.b.ɛ.d	_'	S2	abed	1	(AV)
æ.b.ɛ.ɹ.ə.n.t	_'_	S3	aberrant	5	(AJ N)
æ.b.ɚ.eɪ.ʃ.ɪ.n	`_'_	S4	aberration	3	(N)
ə.b.ɛ.t	_'	S2	abet	0	(VT)
ə.b.eɪ.ə.n.s	_'_	S3	abeyance	3	(N)
ə.b.h.ɔ.ɹ	_'	S2	abhor	0	(VT)
ə.b.aɪ.d	_'	S2	abide	7	(VT VI N)
ə.b.ɪ.l.ɪ.t.i	_'__	S4	ability	74	(N)
æ.b.dʒ.ɛ.k.t	'`	S2	abject	3	(AJ)
æ.b.dʒ.ɛ.k.ʃ.ɪ.n	_'_	S3	abjection	1	(N)
æ.b.dʒ.ɛ.k.t.l.i	'`_	S3	abjectly	1	(AV)
æ.b.dʒ.ə.ɹ.eɪ.ʃ.ɪ.n	`_'_	S4	abjuration	0	(N)
æ.b.dʒ.ʊ.ɹ	_'	S2	abjure	0	(VT)
æ.b.l.eɪ.t	_'	S2	ablate	0	(VT VI)
æ.b.l.ə.t.ɪ.v	'__	S3	ablative	0	(AJ)
ə.b.l.eɪ.z	_'	S2	ablaze	3	(AJ)
eɪ.b.l̩	'_	S2	able	216	(AJ)
ə.b.l.u.m	_'	S2	abloom	0	(AJ)
ə.b.l.u.ʃ.ɪ.n	_'_	S3	ablution	0	(N)
æ.b.n.ɪ.g.eɪ.t	'_`	S3	abnegate	0	(VT)
æ.b.n.ɪ.g.eɪ.ʃ.ɪ.n	`_'_	S4	abnegation	0	(N)
æ.b.n.ɔ.ɹ.m.l̩	`'_	S3	abnormal	3	(AJ)
æ.b.n.ɔ.ɹ.m.æ.l.ɪ.t.i	``'__	S5	abnormality	0	(N)
æ.b.n.ɔ.ɹ.m.l̩.i	_'__	S4	abnormally	1	(AV)
ə.b.oʊ.ɹ.d	_'	S2	aboard	25	(AV PP)
ə.b.oʊ.d	_'	S2	abode	4	(N)
ə.b.ɑ.l.ɪ.ʃ	_'_	S3	abolish	8	(VT)
æ.b.ə.l.ɪ.ʃ.ɪ.n	`_'_	S4	abolition	10	(N)
æ.b.ə.l.ɪ.ʃ.ɪ.n.ɪ.s.t	`_'__	S5	abolitionist	1	(N AJ)
ə.b.ɑ.m.ə.n.ə.b.l̩	_'___	S5	abominable	0	(AJ)
ə.b.ɑ.m.ə.n.eɪ.t	_'_`	S4	abominate	0	(VT)
æ.b.ɚ.ɪ.dʒ.ɪ.n.l̩	__'__	S5	aboriginal	1	(AJ)
æ.b.ɚ.ɪ.dʒ.ɪ.n.i	`_'_`	S5	aborigine	7	(N)
ə.b.ɔ.ɹ.n.ɪ.ŋ	_'_	S3	aborning	0	(AV)
ə.b.ɔ.ɹ.ʃ.ɪ.n	_'_	S3	abortion	6	(N)
ə.b.aʊ.n.d	_'	S2	abound	1	(VI)
ə.b.aʊ.t	_'	S2	about	1816	(AV PP AJ)
ə.b.ʌ.v	_'	S2	above	301	(AV PP N AJ)
æ.b.ɹ.ə.k.ə.d.æ.b.ɹ.ə	`__'_	S5	abracadabra	0	(N)
ə.b.ɹ.eɪ.d	_'	S2	abrade	0	(VT VI)
ə.b.ɹ.eɪ.s.ɪ.v	_'_	S3	abrasive	0	(AJ N)
ə.b.ɹ.ɛ.s.t	_'	S2	abreast	5	(AV)
ə.b.ɹ.ɪ.dʒ	_'	S2	abridge	0	(VT)
ə.b.ɹ.ɔ.d	_'	S2	abroad	52	(AV)
æ.b.ɹ.ə.g.eɪ.t	'_`	S3	abrogate	0	(VT)
æ.b.ɹ.ə.g.eɪ.ʃ.ɪ.n	`_'_	S4	abrogation	0	(N)
ə.b.ɹ.ʌ.p.t	_'	S2	abrupt	18	(AJ)
æ.b.s.ɛ.s	'`	S2	abscess	0	(N)
æ.b.s.k.ɑ.n.d	_'	S2	abscond	0	(VI)
æ.b.s.ɪ.n.s	'_	S2	absence	54	(N)
æ.b.s.ɪ.n.t	'_	S2	absent	34	(AJ VT)
æ.b.s.ɪ.n.t.i	`_'	S3	absentee	1	(N)
æ.b.s.ɪ.n.t.m.aɪ.n.d.ɪ.d	`_'_	S4	absentminded	0	(AJ)
æ.b.s.ɪ.n.θ	'`	S2	absinthe	1	(N)
æ.b.s.ə.l.u.t	'_`	S3	absolute	30	(AJ)
æ.b.s.ə.l.u.t.l.i	'_`_	S4	absolutely	27	(AV)
æ.b.s.ə.l.u.ʃ.ɪ.n	`_'_	S4	absolution	2	(N)
æ.b.s.ə.l.u.t.ɪ.z.ṃ	'_``_	S5	absolutism	0	(N)
ə.b.z.ɑ.l.v	_'	S2	absolve	0	(VT)
ə.b.s.ɔ.ɹ.b	_'	S2	absorb	13	(VT)
ə.b.s.t.eɪ.n	_'	S2	abstain	1	(VI)
æ.b.s.t.i.m.i.ə.s	_'__	S4	abstemious	0	(AJ)
æ.b.s.t.ɪ.n.ɪ.n.s	'__	S3	abstinence	1	(N)
æ.b.s.t.ɹ.æ.k.t	'_	S2	abstract	35	(AJ N VT)
æ.b.s.t.ɹ.æ.k.ʃ.ɪ.n	_'_	S3	abstraction	16	(N)
æ.b.s.t.ɹ.æ.k.t.s	'_	S2	abstracts	4	(VT N)
ə.b.s.t.ɹ.u.s	_'	S2	abstruse	0	(AJ)
ə.b.s.ɚ.d	_'	S2	absurd	17	(AJ)
ə.b.ʌ.n.d.ɪ.n.t	_'_	S3	abundant	9	(AJ)
ə.b.j.u.z	_'	S2	abuse	18	(VT N)
ə.b.ʌ.t	_'	S2	abut	0	(VI VT)
ə.b.ʌ.t.l̩.z	_'_	S3	abuttals	0	(N)
ə.b.ɪ.z.ṃ	_'_	S3	abysm	0	(N)
ə.b.ɪ.z.m.l̩	_'_	S3	abysmal	2	(AJ)
ə.b.ɪ.s	_'	S2	abyss	4	(N)
ə.k.eɪ.ʃ.ə	_'_	S3	acacia	3	(N)
æ.k.ɪ.d.i.m	'_`	S3	academe	0	(N)
æ.k.ɪ.d.ɛ.m.ɪ.k	`_'_	S4	academic	59	(AJ N)
æ.k.ɪ.d.ə.m.ɪ.ʃ.ɪ.n	`__'_	S5	academician	0	(N)
æ.k.ɪ.d.ɛ.m.ə.s.ɪ.z.ṃ	`_'_`_	S6	academicism	0	(N)
ə.k.æ.d.ə.m.i	_'__	S4	academy	24	(N)
ə.k.æ.n.θ.ɪ.s	_'_	S3	acanthus	0	(N)
æ.k.s.i.d	_'	S2	accede	1	(VI)
ɑ.tʃ.ɛ.l.ə.ɹ.ɑ.n.d.oʊ	``_'`	S5	accelerando	0	(AV)
æ.k.s.ɛ.l.ɚ.eɪ.t	_'__	S4	accelerate	5	(VT VI)
æ.k.s.ɛ.n.t	'`	S2	accent	9	(N VT)
æ.k.s.ɛ.n.tʃ.u.l̩	_'__	S4	accentual	1	(AJ)
æ.k.s.ɛ.n.tʃ.u.eɪ.t	_'_`	S4	accentuate	1	(VT)
æ.k.s.ɛ.p.t	_'	S2	accept	72	(VT VI)
æ.k.s.ɛ.p.t.ɪ.n.s	_'_	S3	acceptance	51	(N)
æ.k.s.ɛ.p.t.eɪ.ʃ.ɪ.n	``'_	S4	acceptation	0	(N)
æ.k.s.ɛ.s	'`	S2	access	24	(N)
æ.k.s.ɛ.s.ɪ.b.l̩	_'__	S4	accessible	5	(AJ)
ɑ.k.s.ɛ.ʃ.ɪ.n	_'_	S3	accession	0	(N VT)
æ.k.s.ɛ.s.ɚ.i	_'__	S4	accessory	1	(N AJ)
æ.k.s.ɪ.d.ɪ.n.s	'__	S3	accidence	0	(N)
æ.k.s.ɪ.d.ɪ.n.t	'__	S3	accident	33	(N)
æ.k.s.ə.d.ɛ.n.t.l̩	`_'_	S4	accidental	10	(AJ N)
ə.k.l.eɪ.m	_'	S2	acclaim	4	(VT VI N)
æ.k.l.ə.m.eɪ.ʃ.ɪ.n	`_'_	S4	acclamation	1	(N)
æ.k.l.ə.m.eɪ.t	'_`	S3	acclimate	0	(VT)
ə.k.l.aɪ.m.ə.t.aɪ.z	_'_`	S4	acclimatize	0	(VT)
ə.k.l.ɪ.v.ə.t.i	_'__	S4	acclivity	0	(N)
æ.k.ə.l.eɪ.d	'_`	S3	accolade	2	(N)
ə.k.ɑ.m.ə.d.eɪ.t	_'_`	S4	accommodate	14	(VT VI)
ə.k.ɑ.m.ə.d.eɪ.ʃ.ɪ.n	_`_'_	S5	accommodation	1	(N)
ə.k.ʌ.m.p.ə.n.i.m.ə.n.t	_'___	S5	accompaniment	8	(N)
ə.k.ɑ.m.p.l.ə.s	_'_	S3	accomplice	2	(N)
ə.k.ɑ.m.p.l.ɪ.ʃ	_'_	S3	accomplish	24	(VT)
ə.k.ɔ.ɹ.d	_'	S2	accord	9	(VT VI N)
ə.k.ɔ.ɹ.d.ṇ.s	_'_	S3	accordance	20	(N)
ə.k.ɔ.ɹ.d.i.ə.n	_'__	S4	accordion	1	(N AJ)
ə.k.ɔ.s.t	_'	S2	accost	0	(VT N)
ə.k.aʊ.n.t	_'	S2	account	117	(N VT VI)
ə.k.aʊ.n.t.ṇ.t	_'_	S3	accountant	2	(N)
ə.k.u.t.ɚ	_'_	S3	accoutre	0	(VT)
ə.k.ɹ.ɛ.d.ɪ.t	_'_	S3	accredit	0	(VT)
ə.k.ɹ.i.ʃ.ɪ.n	_'_	S3	accretion	3	(N)
ə.k.ɹ.u	_'	S2	accrue	0	(VI VT)
ə.k.ʌ.l.tʃ.ɚ.eɪ.ʃ.ɪ.n	_`_'_	S5	acculturation	1	(N)
ə.k.j.u.m.j.ʊ.l.eɪ.t	_'_`	S4	accumulate	3	(VT VI)
æ.k.j.ɚ.ə.s.i	'___	S4	accuracy	36	(N)
æ.k.j.ɚ.ɪ.t	'__	S3	accurate	35	(AJ)
ə.k.ɚ.s.t	_'	S2	accursed	0	(AJ)
ə.k.j.u.z.l̩	_'_	S3	accusal	0	(N)
æ.k.j.u.z.eɪ.ʃ.ɪ.n	`_'_	S4	accusation	3	(N)
ə.k.j.u.z.ɪ.t.ɪ.v	_'__	S4	accusative	0	(AJ N)
ə.k.j.u.z	_'	S2	accuse	10	(VT VI)
ə.k.j.u.z.ɚ	_'_	S3	accuser	0	(N)
ə.k.ʌ.s.t.ə.m	_'_	S3	accustom	0	(VT)
eɪ.s	'	S1	ace	17	(N VT AJ)
ə.s.ɚ.b	_'	S2	acerb	0	(AJ)
ə.s.ɚ.b.ə.t.i	_'__	S4	acerbity	0	(N)
æ.s.ə.t.æ.n.ə.l.aɪ.d	`_'_`	S5	acetanilide	0	(N)
æ.s.ə.t.eɪ.t	'_`	S3	acetate	7	(N)
ə.s.i.t.ɪ.k	_'_	S3	acetic	0	(AJ)
æ.s.ə.t.oʊ.n	'_`	S3	acetone	4	(N)
ə.s.ɛ.t.l̩.ə.n	_'__	S4	acetylene	0	(N)
eɪ.k	'	S1	ache	4	(VT N)
ə.tʃ.i.v	_'	S2	achieve	51	(VT VI)
æ.k.ɹ.ə.m.æ.t.ɪ.k	`_'_	S4	achromatic	0	(AJ)
